subscriberId,monthlySpend,dataUsageGb,voiceMinutes,churnRisk,valueScore,acceptedCampaigns,rejectedCampaigns,tariff,segment
SUB-00000,175.77,18.61,385,0.3036,0.1984,2,2,Standart Tarife,BELIRSIZ
SUB-00001,224.92,18.34,746,0.115,0.5082,0,1,Standart Tarife,BELIRSIZ
SUB-00002,158.45,18.63,665,0.2687,0.6427,1,0,Standart Tarife,BELIRSIZ
SUB-00003,145.16,28.16,1718,0.3933,0.549,2,1,Öğrenci Tarifesi,BELIRSIZ
SUB-00004,240.68,6.83,266,0.1292,0.4836,2,1,Aile Paketi,BELIRSIZ
SUB-00005,152.68,13.78,625,0.0229,0.3862,1,1,Aile Paketi,BELIRSIZ
SUB-00006,192.79,3.42,598,0.2158,0.5677,3,2,Premium Tarife,YUKSEK_DEGER
SUB-00007,182.34,26.48,981,0.5051,0.352,4,1,Premium Tarife,BELIRSIZ
SUB-00008,240.56,7.77,822,0.5302,0.4936,0,2,Premium Tarife,YUKSEK_DEGER
SUB-00009,130.68,31.01,462,0.2159,0.4834,0,0,Premium Tarife,YENI_ABONE
SUB-00010,286.15,31.72,562,0.2669,0.5579,1,0,Genç Tarife,YUKSEK_DEGER
SUB-00011,111.46,14.78,495,0.3516,0.5467,3,2,Öğrenci Tarifesi,YUKSEK_DEGER
SUB-00012,199.86,14.22,375,0.181,0.2214,0,1,Aile Paketi,BELIRSIZ
SUB-00013,186.95,4.86,537,0.1494,0.1656,2,1,Premium Tarife,BELIRSIZ
SUB-00014,105.3,16.92,431,0.3396,0.6054,2,3,Genç Tarife,BELIRSIZ
SUB-00015,209.24,28.01,419,0.3852,0.6845,1,1,Standart Tarife,YUKSEK_DEGER
SUB-00016,136.67,20.24,1009,0.2986,0.4426,1,4,Premium Tarife,BELIRSIZ
SUB-00017,84.38,39.15,468,0.5583,0.35,1,2,Genç Tarife,RISKLI_KAYIP
SUB-00018,224.06,12.61,407,0.391,0.5214,0,1,Öğrenci Tarifesi,RISKLI_KAYIP
SUB-00019,64.62,12.6,344,0.1499,0.408,1,0,Standart Tarife,RISKLI_KAYIP
SUB-00020,94.65,8.22,323,0.129,0.5097,0,3,Aile Paketi,YUKSEK_DEGER
SUB-00021,157.4,55.77,158,0.3837,0.3233,1,1,Aile Paketi,RISKLI_KAYIP
SUB-00022,239.68,4.81,375,0.4989,0.4348,1,2,Öğrenci Tarifesi,PASIF
SUB-00023,216.48,26.7,770,0.1181,0.395,1,2,Genç Tarife,BELIRSIZ
SUB-00024,174.2,28.38,261,0.4169,0.4428,1,2,Öğrenci Tarifesi,RISKLI_KAYIP
SUB-00025,50.86,27.6,1278,0.442,0.0989,0,3,Aile Paketi,RISKLI_KAYIP
SUB-00026,108.35,8.79,52,0.3166,0.3631,2,2,Öğrenci Tarifesi,BELIRSIZ
SUB-00027,123.32,14.77,524,0.3924,0.6393,1,1,Premium Tarife,RISKLI_KAYIP
SUB-00028,81.84,24.23,442,0.5457,0.3841,1,0,Genç Tarife,RISKLI_KAYIP
SUB-00029,41.5,10.41,998,0.1295,0.5482,0,2,Standart Tarife,BELIRSIZ
SUB-00030,161.78,13.3,240,0.3274,0.3911,1,0,Öğrenci Tarifesi,RISKLI_KAYIP
SUB-00031,220.27,10.56,143,0.6311,0.2517,3,3,Öğrenci Tarifesi,RISKLI_KAYIP
SUB-00032,117.52,17.74,331,0.418,0.4004,1,2,Öğrenci Tarifesi,RISKLI_KAYIP
SUB-00033,238.01,16.94,296,0.2761,0.1936,2,1,Öğrenci Tarifesi,YUKSEK_DEGER
SUB-00034,59.34,43.61,101,0.4505,0.1492,2,0,Premium Tarife,BELIRSIZ
SUB-00035,78.62,24.58,410,0.04,0.414,2,3,Öğrenci Tarifesi,BELIRSIZ
SUB-00036,159.83,5.89,279,0.1637,0.3834,0,2,Öğrenci Tarifesi,YUKSEK_DEGER
SUB-00037,111.54,6.31,887,0.3367,0.2468,4,1,Genç Tarife,BELIRSIZ
SUB-00038,210.33,27.01,414,0.2607,0.2896,0,2,Öğrenci Tarifesi,YUKSEK_DEGER
SUB-00039,191.64,16.81,218,0.1852,0.4523,3,4,Genç Tarife,RISKLI_KAYIP
SUB-00040,116.42,53.71,380,0.3221,0.5946,4,0,Genç Tarife,YUKSEK_DEGER
SUB-00041,63.35,53.61,436,0.2327,0.333,2,5,Standart Tarife,PASIF
SUB-00042,108.42,8.18,556,0.4932,0.6624,2,2,Standart Tarife,YUKSEK_DEGER
SUB-00043,194.22,20.45,393,0.0285,0.7007,0,2,Aile Paketi,YUKSEK_DEGER
SUB-00044,214.91,6.38,1240,0.0928,0.4705,1,1,Öğrenci Tarifesi,YUKSEK_DEGER
SUB-00045,111.84,26.71,154,0.1783,0.2638,0,2,Standart Tarife,YENI_ABONE
SUB-00046,41.32,47.58,275,0.1077,0.2781,0,2,Genç Tarife,PASIF
SUB-00047,57.06,18.55,219,0.2216,0.3234,1,3,Standart Tarife,BELIRSIZ
SUB-00048,185.58,12.29,306,0.3292,0.2151,2,5,Standart Tarife,YUKSEK_DEGER
SUB-00049,115.26,21.89,471,0.3827,0.4923,4,1,Genç Tarife,RISKLI_KAYIP
SUB-00050,116.94,30.38,450,0.5386,0.2489,2,3,Standart Tarife,RISKLI_KAYIP
SUB-00051,77.78,30.52,548,0.1085,0.5015,1,1,Premium Tarife,BELIRSIZ
SUB-00052,76.82,12.39,412,0.152,0.5929,1,0,Standart Tarife,BELIRSIZ
SUB-00053,235.82,10.21,429,0.3769,0.4279,1,3,Premium Tarife,BELIRSIZ
SUB-00054,189.25,19.71,418,0.1643,0.218,1,1,Premium Tarife,YUKSEK_DEGER
SUB-00055,99.51,13.01,286,0.3834,0.4997,3,1,Genç Tarife,BELIRSIZ
SUB-00056,153.24,36.36,271,0.4683,0.5697,2,3,Premium Tarife,YUKSEK_DEGER
SUB-00057,168.57,12.9,216,0.4483,0.319,1,2,Genç Tarife,YUKSEK_DEGER
SUB-00058,342.69,17.62,566,0.2282,0.6513,0,4,Öğrenci Tarifesi,YUKSEK_DEGER
SUB-00059,72.61,21.53,63,0.3021,0.5257,3,2,Premium Tarife,BELIRSIZ
SUB-00060,167.33,4.98,423,0.2553,0.1971,5,1,Aile Paketi,BELIRSIZ
SUB-00061,235.18,10.89,633,0.0911,0.2333,0,1,Standart Tarife,BELIRSIZ
SUB-00062,321.26,52.23,738,0.1428,0.4381,1,0,Öğrenci Tarifesi,YUKSEK_DEGER
SUB-00063,96.38,29.55,45,0.4228,0.2965,2,2,Premium Tarife,BELIRSIZ
SUB-00064,114.37,12.77,292,0.3871,0.5089,1,2,Genç Tarife,BELIRSIZ
SUB-00065,211.43,26.79,225,0.1807,0.5277,4,1,Öğrenci Tarifesi,YUKSEK_DEGER
SUB-00066,50.26,35.98,275,0.6545,0.2313,3,3,Premium Tarife,RISKLI_KAYIP
SUB-00067,176.67,14.28,833,0.5385,0.3835,1,1,Standart Tarife,RISKLI_KAYIP
SUB-00068,409.03,28.64,226,0.1923,0.6193,0,4,Öğrenci Tarifesi,YUKSEK_DEGER
SUB-00069,187.12,26.04,632,0.0471,0.4582,2,1,Aile Paketi,YUKSEK_DEGER
SUB-00070,26.42,6.47,427,0.4399,0.1917,1,4,Genç Tarife,PASIF
SUB-00071,85.1,14.33,267,0.1119,0.2324,1,2,Aile Paketi,BELIRSIZ
SUB-00072,98.27,44.34,248,0.5271,0.2705,0,4,Premium Tarife,BELIRSIZ
SUB-00073,264.75,51.3,456,0.1911,0.2891,2,0,Öğrenci Tarifesi,BELIRSIZ
SUB-00074,132.88,29.71,366,0.5398,0.5045,2,1,Premium Tarife,RISKLI_KAYIP
SUB-00075,41.81,10.61,95,0.2917,0.0329,1,2,Standart Tarife,BELIRSIZ
SUB-00076,141.89,1.95,188,0.1777,0.4834,0,4,Genç Tarife,BELIRSIZ
SUB-00077,158.68,9.52,463,0.076,0.4652,1,2,Aile Paketi,YUKSEK_DEGER
SUB-00078,106.24,5.73,148,0.0636,0.5138,0,3,Genç Tarife,YUKSEK_DEGER
SUB-00079,75.94,46.42,688,0.0605,0.5804,1,4,Öğrenci Tarifesi,BELIRSIZ
SUB-00080,432.92,3.34,115,0.3232,0.7825,3,4,Genç Tarife,YUKSEK_DEGER
SUB-00081,235.6,6.63,319,0.3864,0.6663,1,3,Premium Tarife,YUKSEK_DEGER
SUB-00082,247.25,19.43,577,0.154,0.6293,0,1,Standart Tarife,YUKSEK_DEGER
SUB-00083,133.04,16.72,177,0.1891,0.4566,0,1,Öğrenci Tarifesi,YUKSEK_DEGER
SUB-00084,95.37,42.97,140,0.1373,0.5123,0,0,Genç Tarife,YENI_ABONE
SUB-00085,109.48,24.99,513,0.2663,0.1616,1,1,Öğrenci Tarifesi,BELIRSIZ
SUB-00086,59.23,15.1,644,0.2394,0.2741,0,1,Öğrenci Tarifesi,BELIRSIZ
SUB-00087,339.12,36.79,335,0.1312,0.5315,1,1,Genç Tarife,YUKSEK_DEGER
SUB-00088,136.27,12.5,286,0.0598,0.534,2,3,Genç Tarife,BELIRSIZ
SUB-00089,298.01,45.19,111,0.1738,0.3055,0,1,Standart Tarife,YUKSEK_DEGER
SUB-00090,112.77,8.52,402,0.0546,0.5463,3,1,Standart Tarife,BELIRSIZ
SUB-00091,188.64,16.29,82,0.1745,0.2819,1,0,Öğrenci Tarifesi,BELIRSIZ
SUB-00092,163.75,2.31,841,0.3873,0.2239,1,2,Öğrenci Tarifesi,BELIRSIZ
SUB-00093,54.91,30.72,346,0.048,0.4387,3,4,Premium Tarife,PASIF
SUB-00094,362.33,18.68,191,0.4425,0.6825,3,1,Öğrenci Tarifesi,YUKSEK_DEGER
SUB-00095,114.87,45.26,246,0.5109,0.378,0,3,Standart Tarife,RISKLI_KAYIP
SUB-00096,68.01,13.96,422,0.2991,0.3718,2,3,Premium Tarife,BELIRSIZ
SUB-00097,212.37,4.91,276,0.1759,0.3388,0,0,Premium Tarife,YENI_ABONE
SUB-00098,146.21,22.89,377,0.5265,0.6358,3,1,Premium Tarife,YUKSEK_DEGER
SUB-00099,179.12,11.14,171,0.7533,0.397,1,2,Genç Tarife,YUKSEK_DEGER
SUB-00100,154.95,27.9,747,0.1089,0.6468,1,2,Premium Tarife,BELIRSIZ
SUB-00101,28.84,8.66,250,0.2426,0.1163,3,2,Standart Tarife,PASIF
SUB-00102,83.22,40.23,60,0.1778,0.4871,1,2,Öğrenci Tarifesi,BELIRSIZ
SUB-00103,81.09,17.61,293,0.147,0.5319,0,1,Premium Tarife,BELIRSIZ
SUB-00104,245.27,15.15,223,0.6588,0.559,1,0,Öğrenci Tarifesi,RISKLI_KAYIP
SUB-00105,149.44,38.54,716,0.4524,0.2087,0,0,Premium Tarife,RISKLI_KAYIP
SUB-00106,195.06,31.01,192,0.1782,0.4074,2,1,Aile Paketi,YUKSEK_DEGER
SUB-00107,119.16,9.65,274,0.1441,0.5524,0,2,Standart Tarife,BELIRSIZ
SUB-00108,200.5,30.43,430,0.5082,0.3521,3,3,Aile Paketi,RISKLI_KAYIP
SUB-00109,133.22,26.45,550,0.331,0.2627,2,4,Premium Tarife,YUKSEK_DEGER
SUB-00110,127.47,15.77,874,0.0639,0.3599,0,1,Aile Paketi,BELIRSIZ
SUB-00111,163.1,28.85,204,0.457,0.5951,2,2,Genç Tarife,YUKSEK_DEGER
SUB-00112,154.95,40.12,816,0.7509,0.1945,0,0,Premium Tarife,YENI_ABONE
SUB-00113,508.87,16.11,700,0.004,0.487,2,0,Genç Tarife,YUKSEK_DEGER
SUB-00114,82.61,16.15,220,0.1196,0.4757,1,0,Standart Tarife,YUKSEK_DEGER
SUB-00115,50.58,15.52,201,0.4977,0.2039,1,2,Aile Paketi,RISKLI_KAYIP
SUB-00116,176.88,9.35,491,0.2699,0.4501,2,0,Standart Tarife,BELIRSIZ
SUB-00117,90.45,15.99,371,0.1467,0.679,2,2,Öğrenci Tarifesi,BELIRSIZ
SUB-00118,25.99,14.74,490,0.5011,0.6572,2,0,Öğrenci Tarifesi,RISKLI_KAYIP
SUB-00119,70.44,14.12,300,0.181,0.4408,4,2,Premium Tarife,YENI_ABONE
SUB-00120,448.36,13.96,397,0.255,0.5838,1,1,Genç Tarife,YUKSEK_DEGER
SUB-00121,81.17,6.62,348,0.453,0.5901,2,0,Genç Tarife,BELIRSIZ
SUB-00122,38.67,33.05,486,0.1221,0.3178,3,3,Aile Paketi,PASIF
SUB-00123,433.06,10.88,196,0.2309,0.6486,1,2,Öğrenci Tarifesi,YUKSEK_DEGER
SUB-00124,68.57,41.56,417,0.1069,0.0629,0,1,Aile Paketi,BELIRSIZ
SUB-00125,592.89,7.88,864,0.0975,0.9165,0,0,Öğrenci Tarifesi,YUKSEK_DEGER
SUB-00126,116.02,47.63,834,0.2794,0.3261,2,0,Öğrenci Tarifesi,BELIRSIZ
SUB-00127,363.16,12.96,449,0.397,0.7453,0,4,Standart Tarife,YUKSEK_DEGER
SUB-00128,125.72,30.67,193,0.6365,0.2449,1,1,Standart Tarife,RISKLI_KAYIP
SUB-00129,189.28,18.55,1118,0.2516,0.378,0,1,Genç Tarife,YUKSEK_DEGER
SUB-00130,134.97,5.85,486,0.1153,0.3717,3,1,Genç Tarife,BELIRSIZ
SUB-00131,126.3,6.12,1052,0.3723,0.2559,1,2,Premium Tarife,RISKLI_KAYIP
SUB-00132,168.52,10.18,499,0.0429,0.4113,0,1,Premium Tarife,YUKSEK_DEGER
SUB-00133,193.22,12.41,40,0.7233,0.6228,1,0,Premium Tarife,RISKLI_KAYIP
SUB-00134,161.07,16.47,1113,0.2438,0.167,1,0,Öğrenci Tarifesi,RISKLI_KAYIP
SUB-00135,151.49,21.39,639,0.0397,0.362,1,1,Aile Paketi,YUKSEK_DEGER
SUB-00136,90.94,14.96,387,0.1771,0.4738,1,0,Genç Tarife,BELIRSIZ
SUB-00137,138.1,20.61,89,0.1992,0.4359,1,4,Genç Tarife,BELIRSIZ
SUB-00138,338.22,22.95,683,0.3555,0.4457,2,0,Aile Paketi,BELIRSIZ
SUB-00139,88.25,14.48,496,0.4478,0.471,0,2,Genç Tarife,RISKLI_KAYIP
SUB-00140,171.4,26.16,1307,0.4907,0.2948,2,4,Genç Tarife,BELIRSIZ
SUB-00141,281.77,30.1,989,0.2649,0.2673,0,1,Öğrenci Tarifesi,BELIRSIZ
